name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Hyundai New Elantra,Hyundai,New Elantra,Chennai,2021,Petrol,4118,1,Automatic,Luxury Sedan,Chennai-Pns,False,Chennai,Tamil Nadu,9688,198400,1988499,https://www.cars24.com/buy-used-hyundai-new-elantra-2021-cars-chennai-11380992761,2022-10-18
Hyundai i10,Hyundai,I10,New Delhi,2012,Petrol + Cng,86232,1,Manual,Hatchback,Dwarka Sector 6,False,Delhi,Delhi,13898,7100,245099,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-new-delhi-10010792740,2022-09-28
Maruti Swift,Maruti,Swift,Mumbai,2019,Petrol,8565,1,Automatic,Hatchback,Hi-West Mumbai,False,Thane,Maharashtra,13898,0,703699,https://www.cars24.com/buy-used-maruti-swift-2019-cars-mumbai-10383870711,2022-11-24
Hyundai Creta,Hyundai,Creta,Chennai,2017,Petrol,57562,2,Manual,SUV,Hi-Chennai,False,Chennai,Tamil Nadu,9688,-10900,767399,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-chennai-11394578796,2022-11-12
Maruti Swift,Maruti,Swift,Patna,2015,Petrol,31395,1,Manual,Hatchback,Shaguna More,False,Patna,Bihar,9688,0,442799,https://www.cars24.com/buy-used-maruti-swift-2015-cars-patna-14410897764,2022-10-21
Hyundai Creta,Hyundai,Creta,Ahmedabad,2019,Diesel,60766,1,Manual,SUV,Hi-West-Amd,False,Ahmedabad,Gujarat,9688,0,989299,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-ahmedabad-11419370718,2022-11-23
Hyundai i10,Hyundai,I10,Patna,2010,Petrol,49447,2,Manual,Hatchback,Hi-Central Patna,False,Patna,Bihar,9688,-4500,190299,https://www.cars24.com/buy-used-hyundai-i10-2010-cars-patna-14409691768,2022-10-19
Renault Kwid,Renault,Kwid,Jaipur,2017,Petrol,17729,1,Manual,Hatchback,Jaipur-Pns,False,Jaipur,Rajasthan,12542,9200,320999,https://www.cars24.com/buy-used-renault-kwid-2017-cars-jaipur-10753092704,2022-09-22
Honda Amaze,Honda,Amaze,Gurgaon,2018,Petrol,29441,1,Manual,Sedan,Hi-Multan Nagar,False,Gurgaon,Haryana,9688,-15700,587199,https://www.cars24.com/buy-used-honda-amaze-2018-cars-gurgaon-10136574792,2022-10-25
Skoda KUSHAQ,Skoda,Kushaq,Gurgaon,2022,Petrol,15761,1,,,Hi-Gurgaon New,False,New Delhi,Delhi,12188,56900,1177499,https://www.cars24.com/buy-used-skoda-kushaq-2022-cars-gurgaon-10162470796,2022-10-30
Maruti Swift Dzire,Maruti,Swift Dzire,Hyderabad,2017,Diesel,89798,1,Manual,Sedan,Hi-East 2 Hyd,False,Hyderabad,Telangana,13898,0,673099,https://www.cars24.com/buy-used-maruti-swift-dzire-2017-cars-hyderabad-10465394766,2022-10-16
Honda WR-V,Honda,Wr-V,New Delhi,2017,Petrol,26959,2,Manual,SUV,Hi-Yamuna Bank Delhi,False,New Delhi,Delhi,9688,-2000,736499,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-new-delhi-10064975712,2022-11-24
Maruti Swift Dzire,Maruti,Swift Dzire,Hyderabad,2015,Petrol,94590,1,Manual,Sedan,Hi-West Hyd,False,Hyderabad,Telangana,13898,5000,470699,https://www.cars24.com/buy-used-maruti-swift-dzire-2015-cars-hyderabad-10483994725,2022-09-07
